Küsimus	Vastus A)	Vastus B)	Vastus C)	Õige vastus
Tümool on..	eeterlik õli mida saadakse nt tüümianitaimest ning kasutatakse raamide desinfitseerimiseks	eeterlik õli mida saadakse nt tüümianitaimest ning kasutatakse varroalesta tõrjeks		b
Kas suira hulgaline sisaldus mees võib kuidagi mee kvaliteeti mõjutada?	ei	kuna suir sisaldab erinevaid seeneeoseid, siis võib see isegi küpse mee käärimisprotsessi esile kutsuda		b
Mida võib vähese inventariga hobimesinik teha tugevalt mesise kaanetisega?	ära visata	otse vahasulatusse saata	kaanetis eraldi produktina ära tarbida või mesi välja nõrutada ning kaanetise vaha enne sulatamist puhtaks leotada	c
Kas mesise vaha "pesuvesi" kõlbab veel mõneks otstarbeks?	kõlbab ainult taimede kastmiseks	enda otstarbeks võib ka mõdu teha	võib jätta pikemaks ajaks õue ämbrisse, mesilastele joomiseks	b
Kõige kiirem ja mugavam viis suitsiku süütamiseks?	tikud	väike gaasipõleti	hõõguvad söed	b
Mis on hobimesinikule kõige odavam ja säästlikum viis suira kättesaamiseks?	osta suirapurusti	kärgede külmutamine, purustamine ja sõera sõelumine	ükshaaval kärjekannust nokkides	c
Kas peale suira kogumist mesiniku poolt peab ta seda pikema säilitamise jaoks ka kuivatama?	ei pea, suir on piisavalt kuiv, et ei lähe enam hallitama	kui ei ole plaan suira ainult sügavkülmas säilitada, siis peab ka kuivatama		b
Miks inimesed suira söövad?	lihtsalt maitse pärast, kommi asemel	terviseteadlikud inimesed teavad, et suira on juba väga ammustest aegadest kasutatud erinevate tervisehädade raviks ning tervise tugevdamiseks		b
Kas "õietolmu kogujaga" kogutud õietolmu peab pikema säilitamise eesmärgil kuivatama?	jah	ei		a
Kui tihti tühjendatakse õietolmu kogujat?	kord nädalas	kord kolme päeva jooksul	iga päev	c
Kas suir ja mesi on vegan?	jah	ei		b
Mis on pagarimesi?	tavaline mesi mida müüakse tööstustele hulgihinnaga	mesi mis on loodusliku korje tagajärjel saanud ebatavalise maitse ja mida on raske tavatarbijale müüa	mesi mis võib olla üle kuumutatud (nt vahasulatusel), käärimistunnustega või käärinud, võõra lõhna ja maitsega, kuid mida võib magusainena kasutada tööstuslikult või muu hiljem töödeldava toidu koostises	c
Mis juhtub kui teha meesegu liigniiskete koostisosadega?	selline segu ei säili väga pikalt ja läheb käärima	selline segu ei säili väga pikalt ja läheb hallitama		a
Mis on apiteraapia?	mesilasteraapia inimestele	üldnimetus igasugustele mesilashaiguste ravile	mesindamine viisil kus mesilastele tekitatakse võimalikult vähe stressi	a
Mis ravim võiks igal mesinikul igaks elujuhtumiks mesilas valmis olla?	insuliini süstal	epipen (epinefriin)	apistan	b
Miks on praktiseeritud sülemi pritsimist veega?	et mesilasema "vihma" tõttu tarust välja ei lendaks, sülemlevale perele järgi	et sundida sülemit paigale jääma, sest mesilased vihmaga ei lenda ja see annab mesinikule tegutsemise aega juurde	mesinik elab oma pahameelt välja	b
Sinu sõber saab ühelt mesilaselt nõelata ning üsna ruttu tekib tal naha punetus, iiveldus, uimasus, kuumatunne, rahutus, keele ja kõri turse ning hingamisraskused. Mida teed?	kõigepealt viin ta autosse ja hakkan haigla poole sõitma	kõigepealt uurin epipeni olemasolu, seejärel helistan kiirabisse ja käitun vastavalt nende juhistele ning olen valmis vajadusel oma sõpra elustama	käsen tal külma veevanni või lähedal asuvasse veekogusse istuda	b
Kas vaablane on sama kes vapsik?	jah, rahvakeeli on neil tekkinud kaks nimetust	ei, vaablane on taimtoiduline ja inimestele ning mesilastele täiesti ohutu		b
Kui mõni su mesilaspere on aja jooksul muutunud iseloomult kurjemaks, rahutumaks ning muudab mesiniku töö stressitekitavaks, siis mis võiks olla sellise olukorra lahenduseks?	löö jalaga vastu taru, ütle paar karvast sõna ja ära rohkem selle mesilaspere tegevusse sekku	müü see pere ära mõnele alustavale hobimesinikule	vaheta selles peres mesilasema ära; vajadusel osta see paarunud mesilasema mõne emadekasvataja käest	c
Mis on tarukaart?	mesila kaart kuhu on märgitud kõikide tarude asukohad	mesilamärkmik või infoleht iga mesilaspere kohta kuhu mesinik kogub pere iseloomustava info ning perega läbi viidud protseduurid		b
Kas kimalased ja erakmesilased on sama olulised tolmeldajad nagu meemesilased?	kuna nad elavad eraklikult või väikeste peredena, siis nende mõju looduses on ka väiksem	on küll ning mingis mõttes on nad isegi hoolikamad tolmeldajad kui meemesilased kes on oma olemuselt maksimalistid ning valivad		b
Kas ohtlikud pestitsiidid on ainult suurtel põllukultuuridel?	jah	ei, ka minu naaber võib kasutada (teadmatult või teadlikult) oma koduaias keemilisi taimekaitsevahendeid mis on ohtlikud keskkonnale		b
Suitsiku suitsu võiks kasutada..	pigem rohkem kui vähem	enne läbivaatust paar lõõtsatõmmet lennuavasse ja katuse avades ka raamide vahele, et nad kohe rahuneks	pigem vähem ning võimalusel ainult ründavatele mesilastele	c
Seda on Eesti mesinduses kasutatud ka taruharja asemel..	lehma sabatutt	lamba vill	hane tiib	c
Teadlik ja hoolikas mesinik..	valvab kevadel mesilasperede sülemlemist, et need kinni püüda	jälgib mesilasperede arengut, et vajadusel alustada sülemlemismeeleolu ennetamist		b
Võõraid mesilassülemeid.. ei tohi oma mesilasse tuua bvõib otsejoones oma mesilasse tuua cvõib oma mesilasse tuua, kuid mesinik peab olema teadlik võimalike haiguste ennetamise (sh. sülemiga kaasas oleva mee võimaliku haudmemädaniku eostega)	ei tohi oma mesilasse tuua	võib otsejoones oma mesilasse tuua	võib oma mesilasse tuua, kuid mesinik peab olema teadlik võimalike haiguste ennetamise (sh. sülemiga kaasas oleva mee võimaliku haudmemädaniku eostega) ja efektiivse lestatõrje osas	c
Mesinduse põhitõdesid mittetundev, niisama laisk ning ahne mesinik on mesilaspere arengule pigem..	arengut soodustav abiline	arengut pidurdav abiline		b
Kuidas koguda eriti puhast taruvaiku?	konkspeitliga raame, magasine ja pesaruumi kraapides	kasutades taruvaigu kogumise resti		b
Kas ja kus saab Eestis omandada mesiniku elukutset riikliku tasemeõppena?	Eestis saab hetkel õppida mesindust ainult hobimesinduse tasemel	Olustvere Teenindus- ja Maamajanduskoolis	Mesinduse ABC kursusel	b
Miks võiks omada häid suhteid oma naabermesinikuga?	vajadusel saab laenata temalt inventari	ühised arusaamad mesilashaiguste ennetamisest ja ravist tulevad kasuks teie mõlema mesilale	saab käia tema PRIA's registreeritud tarusid üle lugemas	b
Eesti meeturu probleemiks on..	kodumaised mesinikud kes toodavad "vale" mett	imporditud odav võltsmesi või mee päritolu (riigi) vale info		b
Kas hobimesinik tohib turul müüa ühekordse üritusena mõdu, meeveini või teisi mesindussaadusega alkoholi sisaldavaid tooteid?	jah, ühekordsel üritusel osaledes pole täiendav dokumentatsioon vajalik	ei tohi	tohib juhul kui on MTA'lt taotletud aktsiisilao tegevusluba, teavitatud PTA'd ning valmiv alkohoolne jook tuleb kanda ka riiklikusse alkoholiregistrisse	c
Mis oli 2020a kodumaise õiemee optimaalne hind tarbijale?	10-12€ kg	12-14€ kg	8-10€ kg	c
Kas suurt mesilat on võimalik majandada samasuguste töövõtete ja ajakuluga nagu hobimesinikud väiksemates mesilates?	jah, ikka	ei		b
Maakodudes on keskkonnasõbralik käitumine..	pidev niitmine, looduse piiramine ja omale meelepärase taimekultuuri külvamine	niidan täpselt nii palju kui on hädavajalik ning lasen loodusel õitseda		b
